N.ยบ,Last chord,L2 distance
1,Gm      ,0.00
2,Gmadd9,0.33
3,Gm      ,0.47
4,Gsus2,1.03
5,Gm      ,1.38
6,Gsus2/4,1.61
7,Gm      ,1.81
8,Gm7,1.84
9,Eb/G    ,1.89
10,Gm      ,1.89
11,Gsus2/4,2.07
12,Gmadd9,2.13
13,Am7b5/Eb,2.41
14,Ebmaj7,2.52
15,Am7b5/Eb,2.63
16,Ebmaj7,2.74
17,F7/Eb,3.01
18,Eb      ,3.36
19,Ebadd#11,5.42
20,Ebmaj7,6.19
21,Gm      ,6.20
22,Ebmaj7/G,6.20
23,Gm      ,6.21
24,Eb/G    ,6.21
25,Gm      ,6.21
26,F       ,6.47
27,Cm      ,6.83
28,Cm7/Bb,6.84
29,Gm      ,6.89
30,F       ,7.13
31,F7/Eb,7.16
32,Ebmaj7sus2,7.20
33,F7/Eb,7.24
34,Ebmaj7,7.34
35,Adim/Eb ,7.44
36,Gm      ,7.79
37,G7no3,7.79
38,G7,7.79
39,Eb/G    ,7.80
40,Gm      ,7.80