N.ยบ,Last chord,Sqrt(total cost)
1,Gadd9   ,0.00
2,Bm7     ,1.65
3,D       ,1.86
4,Gadd9   ,3.11
5,Bm7     ,3.52
6,D       ,3.62
7,Gadd9   ,4.40
8,Bm7     ,4.70
9,D       ,4.78
10,Gadd9   ,5.39
11,Bm7     ,5.64
12,D       ,5.70
13,Gadd9   ,6.23
14,Bm7     ,6.44
15,D       ,6.50
16,Gadd9   ,6.96
17,Bm7     ,7.16
18,D       ,7.21
19,G6      ,7.22
20,A       ,7.22
21,Bm7add11,7.23
22,Dmaj7   ,7.26
23,G6      ,7.27
24,A       ,7.27
25,Bm7add11,7.28
26,Dmaj7   ,7.31
27,G       ,7.31
28,A       ,7.31
29,Bm7     ,7.45
30,Dmaj7   ,7.46
31,G       ,7.50
32,A       ,7.53
33,Bm      ,7.74
34,D       ,7.84
35,Gadd9   ,8.23
36,A       ,8.38
37,Bm      ,8.58
38,Dmaj7   ,8.85
39,G       ,8.89
40,A       ,8.98
41,Bm      ,9.16
42,G6      ,9.16
43,A       ,9.31
44,Bm7add11,9.32
45,D       ,9.36
46,G6      ,9.37
47,A       ,9.37
48,Bm7add11,9.38
49,D       ,9.43
50,G       ,9.44
51,A       ,9.44
52,Gmaj7/B ,9.44
53,D       ,9.45
54,G       ,9.46
55,A       ,9.46
56,Bm7     ,9.56
57,Dmaj9   ,9.86
58,G       ,9.93
59,Bm7     ,10.01
60,Dmaj7   ,10.01
61,Gadd9   ,10.09
62,Bm7     ,10.22
63,Dmaj7   ,10.23
64,Gmaj9   ,10.26
65,Bm7     ,10.33
66,Dmaj7   ,10.34
67,Gadd9   ,10.42
68,Bm7     ,10.55
69,Dmaj7   ,10.55
70,G6      ,10.55
71,A       ,10.61
72,Bm11    ,10.61
73,Dmaj7   ,10.61
74,G6/9    ,10.66
75,A       ,10.74
76,Bm7add11,10.74
77,Dmaj7   ,10.77
78,G       ,10.77
79,A       ,10.77
80,Bm7add11,10.78
81,Dmaj7   ,10.80
82,Gmaj13  ,10.86
83,A       ,11.04
84,Bm7add11,11.04
85,Dmaj7   ,11.13
86,G       ,11.13
87,A       ,11.13
88,Bmadd11 ,11.22
89,D       ,11.25
90,G       ,11.26
91,A       ,11.26
92,Bm7     ,11.34
93,G6      ,11.35
94,A       ,11.41
95,Bm11    ,11.41
96,D       ,11.43
97,G6      ,11.44
98,A       ,11.44
99,Bm7add11,11.44
100,D       ,11.48
101,G       ,11.49
102,A       ,11.49
103,Bm7     ,11.58
104,D       ,11.61
105,G       ,11.61
106,A       ,11.62
107,Bm7     ,11.70
108,Dmaj7   ,11.71
109,G       ,11.74
110,Bm7     ,11.80
111,D       ,11.83
112,D       ,11.83
113,D       ,11.83
114,G6/9    ,11.85
115,Bmadd11 ,11.86
116,D       ,11.89
117,G6      ,11.89
118,A       ,11.89
119,Bm7add11,11.90
120,D       ,11.94
121,G       ,11.95
122,A       ,11.95
123,Bm7     ,12.03
124,D       ,12.06
125,Gmaj7   ,12.18
126,A       ,12.40
127,Bm7     ,12.48
128,Dadd9   ,12.52